date,absoluteReturn,relativeToSPReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,grahamNumber,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
2003-03-31,,,17.98,0.11551674185671122,0.2733,2.5399,0.6051,3754745420,32.5317,1.562,66.6763,6.7983,1.4487,1.7799,2.6230409843114844,0.213,1.3458715025212016,-0.6758,0.0451,0.1287,0.2133
2003-06-30,-0.04171301446051168,-0.1906436758944284,17.23,0.12805336856980307,0.0725,2.6477,0.6017,3605446420,30.1347,1.4458,66.9323,6.2475,1.3317,1.8006,2.8199878824132485,0.2116,1.461233715962419,-0.7205,0.0446,0.1278,0.2118
2003-09-30,-0.0017411491584446393,-0.023772930280173733,17.2,0.14908737899643743,0.0349,2.8087,0.5893,3610675600,29.6972,1.3969,79.0237,5.8864,1.2835,1.8032,3.1295097339156794,0.2041,1.635513974171482,0.0779,0.0457,0.1215,0.2042
2003-12-31,0.09476744186046507,-0.021651804354689608,18.83,0.06332270305565281,0.0526,3.1487,0.6373,3956427790,39.976,1.5072,42.0874,5.9451,1.3945,1.9928,2.124581184313042,0.1543,1.8628261935244368,-2.2204,0.0182,0.0949,0.1547
2004-03-31,0.04514073287307496,0.032289164030513184,19.68,0.14525649329915247,0.3073,3.1275,0.611,4141341120,39.1819,1.5029,40.6193,6.04,1.3707,1.9955,3.264550042510217,0.1555,1.9348964520942433,0.0801,0.0463,0.0975,0.1564
2004-06-30,0.255589430894309,0.24259895363851036,24.71,0.1699501156737999,0.0983,3.2427,0.5947,5233405030,45.3513,1.7871,48.4996,7.2923,1.6599,1.968,3.6046744020021344,0.1633,2.072131751285453,0.081,0.047,0.0991,0.1644
2004-09-30,0.04613516794819913,0.06915330419199993,25.85,0.1938159811520961,0.0191,3.4515,0.5871,5498760300,43.6596,1.7657,52.6026,7.1628,1.6444,1.9729,3.9689752453338683,0.1683,2.1959072574958394,-0.6879,0.048,0.1001,0.1695
2004-12-31,0.08085106382978723,-0.0064823637649298604,27.94,0.0799040379436177,0.0988,3.8082,0.6074,5959266720,45.8585,1.796,51.8562,7.1918,1.6727,1.9947,2.6195703217079807,0.1612,2.3931163497243166,-0.288,0.0185,0.0972,0.1628
2005-03-31,-0.04151753758052971,-0.015665932698241153,26.78,0.13860701521219848,0.293,3.7727,0.6065,5710460080,44.2757,1.6521,50.6291,6.7961,1.5196,2.0181,3.503729010840606,0.1529,2.3539458627999026,-0.723,0.0374,0.0938,0.1545
2005-06-30,-0.06982823002240482,-0.07892536835604508,24.91,0.16612871829462067,0.1273,3.8099,0.5938,5308121720,41.4499,1.4803,44.5461,6.307,1.3579,1.9634,3.8381100582339553,0.1506,2.3624819326863515,-0.7214,0.0395,0.0913,0.1522
