ticker,date,absoluteReturn,relativeToSPReturn,nextPeriodRelativeToSPReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
AAPL,2003-12-31,,,0.2503063258942802,0.38,0.0030216917176101,0.0083,0.2076,0.6211,7847228000,56.0516,1.1641,37.3677,1.8122,0.4533,2.531,0.0305,0.1640630296456277,0.0533,0.0314,0.0203,0.0327
AAPL,2004-03-31,0.263157894736842,0.2503063258942802,0.1953428560775346,0.48,0.0021717700114442,0.0012,0.2119,0.6666,10022352000,58.2694,1.3968,56.3053,2.2321,0.7565,2.9212,0.0377,0.1694931489135484,0.0513,0.024,0.025,0.039
AAPL,2004-06-30,0.2083333333333333,0.1953428560775346,0.2126733086575939,0.58,0.0027743949363017,0.0078,0.2188,0.6662,12511064000,58.4629,1.6367,32.1621,2.5999,0.987,2.9169,0.046,0.1796409961614775,0.06,0.0302,0.0306,0.046
AAPL,2004-09-30,0.1896551724137931,0.2126733086575939,0.5793332390719496,0.69,0.0042247198922696,0.0168,0.2233,0.6305,15125352000,56.8622,1.8269,19.9542,2.9797,1.1669,2.6612,0.0538,0.1861702127659574,0.068,0.0408,0.0348,0.0538
AAPL,2004-12-31,0.6666666666666666,0.5793332390719496,0.3215037787953321,1.15,0.0125698414478548,0.0305,0.2467,0.6184,26052905000,52.315,2.6685,20.0406,4.4996,2.008,2.5812,0.0916,0.2096695167007287,0.1272,0.0845,0.0572,0.0916
AAPL,2005-03-31,0.2956521739130435,0.3215037787953321,-0.129902507461157,1.49,0.0120851924387701,0.0205,0.2661,0.6315,34341222000,46.2819,3.0946,19.4347,5.3775,2.4587,2.687,0.1218,0.2291758866356008,0.1366,0.0894,0.0762,0.1218
AAPL,2005-06-30,-0.1208053691275167,-0.129902507461157,0.426554543512428,1.31,0.0132351503687337,0.0169,0.2829,0.6503,30370385000,30.3703,2.4097,15.1624,4.4524,1.8126,3.0022,0.1514,0.2462527228416761,0.134,0.0906,0.097,0.1514
AAPL,2005-09-30,0.4580152671755724,0.426554543512428,0.3296970192968073,1.91,0.0176143691109155,0.0269,0.3056,0.645,44656755000,33.526,3.2055,19.6293,6.0119,2.6125,2.9538,0.1869,0.2656914950492932,0.1272,0.1163,0.121,0.1869
AAPL,2005-12-30,0.3455497382198952,0.3296970192968073,-0.1657196798728736,2.57,0.0230821435067111,0.0082,0.3423,0.5909,60850661000,37.9841,3.7585,34.5938,7.2614,3.2207,2.4035,0.2026,0.2686539428059787,0.1395,0.0982,0.1246,0.2026
AAPL,2006-03-31,-0.1284046692607002,-0.1657196798728736,-0.065769288944794,2.24,0.0166673198087925,-0.0129,0.3529,0.6241,53261152000,30.9298,3.0776,56.1826,6.1346,2.6022,2.5327,0.2018,0.254738763442443,0.1328,0.094,0.1225,0.2018
