ticker,date,sector,sectoralIndex,absoluteReturn,relativeToSPReturn,relativeToSectoralIndexReturn,nextPeriodRelativeToSectoralIndexReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
ETRN,2016-12-30,Energy,GSPE,,,,,0.0,0.0,0.0,12.5248,0.7269,0,0.0,0.0,0.0,0.0,0.0,5.2748,0.0,-0.4758088243947793,0.0,0.0,0.0,0.0
ETRN,2017-06-30,Energy,GSPE,,,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ETRN,2017-09-29,Energy,GSPE,,,,,0.0,0.3221449391346648,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7036,0.398,0.0,0.0
ETRN,2017-12-29,Energy,GSPE,,,,,0.0,-1.0886519397270378,0.0,24.4746,0.749,0,0.0,0.0,0.0,0.0,2.6717,0.5853,-0.0305,-6.807157120047704,0.6779,-0.9491,-0.0469,-0.0626
ETRN,2018-03-30,Energy,GSPE,,,,,0.0,0.3245458147481238,0.4869,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0176,0.0,0.8534,0.2229,-0.027,-0.0361
ETRN,2018-06-29,Energy,GSPE,,,,,0.0,0.3964857771657898,-0.2253,25.1409,0.5792,0,0.0,0.0,0.0,0.0,1.4999,2.307,-0.0015,-10.036673205178502,0.809,0.2697,-0.002,-0.0036
ETRN,2018-09-28,Energy,GSPE,,,,inf,0.0,0.3249313456257355,0.0405,21.4806,0.5506,0,0.0,0.0,0.0,0.0,2.3477,0.4385,-0.0007,-15.87723813260102,0.7929,0.2271,-0.001,-0.0018
ETRN,2018-12-31,Energy,GSPE,inf,inf,inf,-0.06626058111335154,20.02,-0.1896519854800586,-0.8699,20.6851,0.4997,5090505420,23.3083,3.4047,-35.3085,0.9678,6.325,1.0352,0.0151,-18.4659792111566,0.7768,-0.1253,0.0213,0.0406
ETRN,2019-03-29,Energy,GSPE,0.0879120879120879,-0.0427498152442829,-0.06626058111335154,-0.057917994140449014,21.78,0.2209302781887319,-0.3404,18.3538,0.4551,5547017520,28.8955,3.6641,-15.6223,1.186,7.0238,0.7907,0.0137,-20.76024406715773,0.8459,0.1444,0.0184,0.0386
ETRN,2019-06-28,Energy,GSPE,-0.0950413223140495,-0.1329188664577321,-0.057917994140449014,-0.18933382486006867,19.71,0.2922770397737746,0.1048,24.494,0.5021,5026641300,30.3867,3.2528,-18.5552,0.8048,6.7269,0.4802,0.0111,-22.9698545269184,0.8183,0.1834,0.0145,0.0302
ETRN,2019-09-30,Energy,GSPE,-0.2617960426179604,-0.2736868767963531,-0.18933382486006867,-0.1260071652129629,14.55,-0.2582233293450758,-0.0762,23.3067,0.4724,3706525200,220.9948,2.3323,-12.3273,0.6238,5.9973,0.7561,0.001,-24.387451716232768,0.8355,-0.1611,0.0013,0.0027
ETRN,2019-12-31,Energy,GSPE,-0.0817869415807561,-0.1671286374950499,-0.1260071652129629,-0.11292155878989252,13.36,-1.0541556179687133,0.3474,20.7195,0.4386,3403393200,-16.7043,2.0876,373.2609,0.6443,5.9129,1.1168,-0.0123,-25.061991403167877,0.8185,-0.631,-0.0165,-0.0363
ETRN,2020-03-31,Energy,GSPE,-0.623502994011976,-0.4234924901873369,-0.11292155878989252,0.36533725442941795,5.03,0.2805089484333705,0.3898,20.2916,0.4138,1153640560,-6.0619,0.6811,5.9837,0.2287,4.5231,1.2568,-0.0117,-29.548144337088843,0.8495,0.1538,-0.0157,-0.0368
ETRN,2020-06-30,Energy,GSPE,0.6520874751491054,0.4525587554546195,0.36533725442941795,0.22667082866770344,8.31,0.1034563386652254,0.87,13.5986,0.3388,3593817390,-17.25,2.2075,9.1433,1.013,6.5215,1.2499,-0.0148,-17.862424821201056,0.7813,0.1658,-0.0169,-0.0449
ETRN,2020-09-30,Energy,GSPE,0.0180505415162455,-0.0666866790751999,0.22667082866770344,-0.30745895435533555,8.46,0.3461893022750744,0.2834,8.4091,0.3421,3658696200,166.6528,2.331,6.8362,1.0052,6.6271,0.7928,0.0018,-17.98076860822716,0.8127,0.4699,0.0017,0.0051
ETRN,2020-12-31,Energy,GSPE,-0.0496453900709221,-0.1665261716229218,-0.30745895435533555,-0.2777635054305882,8.04,0.2722925483108256,0.5367,8.5083,0.3428,3477058800,8.2174,2.3014,5.1219,0.9445,6.7495,0.9442,0.0355,-18.038247739727613,0.7932,0.3607,0.0333,0.0974
ETRN,2021-03-31,Energy,GSPE,0.0149253731343284,-0.0427998077788847,-0.2777635054305882,-0.05843520798751428,8.16,0.1340273064332183,0.3885,8.4967,0.3411,3529183680,8.2828,2.4547,4.7041,0.9588,7.1008,0.9955,0.0362,-18.160329065105504,0.8168,0.1912,0.0333,0.0976
ETRN,2021-06-30,Energy,GSPE,0.042892156862745,-0.0388141365908663,-0.05843520798751428,0.21974465885176625,8.51,0.0518728198881568,0.7232,8.4086,0.3378,3680617550,9.0499,2.5464,4.3986,1.0098,7.2764,1.4779,0.0344,-18.332867828117596,0.7885,0.1065,0.0317,0.0936
ETRN,2021-09-30,Energy,GSPE,0.191539365452409,0.1892031143616585,0.21974465885176625,-0.04812493936698215,10.14,0.1676831728829192,0.2977,8.4375,0.3373,4385773080,13.3069,3.051,5.2013,1.1985,7.8391,1.5266,0.0277,-18.59230513129968,0.7886,0.2553,0.0256,0.076
ETRN,2021-12-31,Energy,GSPE,0.0197238658777119,-0.0867499295042502,-0.04812493936698215,-0.5603195893870134,10.34,-3.677005466146609,0.6172,4.6433,0.2465,4472277480,-3.2396,3.3957,5.0922,2.2242,8.5628,1.2156,-0.1254,-17.990684866896945,0.6897,-6.3956,-0.116,-0.3925
ETRN,2022-03-31,Energy,GSPE,-0.183752417794971,-0.1342851272528958,-0.5603195893870134,-0.1851150920994198,8.44,0.1993602404168577,0.2642,4.6974,0.2514,3651793880,-2.7009,2.8547,4.4284,1.7915,8.2051,1.5689,-0.1338,-17.964148776107812,0.8218,0.2955,-0.1243,-0.4995
ETRN,2022-06-30,Energy,GSPE,-0.2464454976303316,-0.0819945433586347,-0.1851150920994198,0.1645306094573129,6.36,0.1272507344047002,0.5971,4.6932,0.248,2752487160,-2.0863,2.1853,3.5733,1.3512,7.5322,1.3037,-0.1309,-18.141803822256524,0.8129,0.2125,-0.1211,-0.4851
ETRN,2022-09-30,Energy,GSPE,0.1761006289308176,0.2288720209203001,0.1645306094573129,,7.48,-1.2026269880096363,0.2212,3.3267,0.2044,3237201880,-1.692,2.5914,4.3923,2.2454,7.9384,0.6136,-0.1963,-18.325460221220432,0.793,-1.5268,-0.1792,-0.7901
